id,name,account_name,owner_id,owner_name,segment,amount,stage,stage_order,probability,forecast_category,close_date,created_date,last_activity_date,next_step,days_since_last_activity,is_closed,is_won
opp_0001,Acme Corp - Upsell,Acme Corp,rep_001,Aisha Okonkwo,Enterprise,424500,Proposal,3,40,Pipeline,2026-06-27,2026-04-19,2026-05-17,Send mutual close plan for sign-off,3,False,False
opp_0002,Krusty Krab Dynamics - Expansion,Krusty Krab Dynamics,rep_001,Aisha Okonkwo,Enterprise,296500,Proposal,3,40,Pipeline,2026-08-07,2026-03-25,2026-05-13,Demo the API integration to their eng team,7,False,False
opp_0003,Quick Stop Systems - New Logo,Quick Stop Systems,rep_001,Aisha Okonkwo,Enterprise,416500,Qualification,2,20,Pipeline,2026-10-11,2026-04-15,2026-05-17,Confirm budget approval from CFO,3,False,False
opp_0004,Hooli XYZ Systems - Expansion,Hooli XYZ Systems,rep_001,Aisha Okonkwo,Enterprise,123500,Negotiation,4,65,BestCase,2026-06-14,2026-02-13,2026-05-18,Schedule security review with their CISO,2,False,False
opp_0005,Anaconda Realty Logistics - Expansion,Anaconda Realty Logistics,rep_001,Aisha Okonkwo,Enterprise,287500,Negotiation,4,65,Commit,2026-07-04,2025-09-28,2026-05-19,Confirm budget approval from CFO,1,False,False
opp_0006,Sterling Cooper Group - Upsell,Sterling Cooper Group,rep_001,Aisha Okonkwo,Enterprise,203000,Negotiation,4,65,Commit,2026-06-16,2025-12-12,2026-05-11,Confirm budget approval from CFO,9,False,False
opp_0007,Krusty Krab Solutions - New Logo,Krusty Krab Solutions,rep_001,Aisha Okonkwo,Enterprise,340000,Discovery,1,10,Pipeline,2026-08-06,2025-11-09,2026-05-18,Schedule security review with their CISO,2,False,False
opp_0008,Wayne Robotics - New Logo,Wayne Robotics,rep_001,Aisha Okonkwo,Enterprise,382500,Discovery,1,10,Pipeline,2026-07-19,2026-02-04,2026-05-20,Send mutual close plan for sign-off,0,False,False
opp_0009,Soylent Group - Upsell,Soylent Group,rep_001,Aisha Okonkwo,Enterprise,429000,Qualification,2,20,Pipeline,2026-10-21,2026-02-22,2026-03-16,Confirm budget approval from CFO,65,False,False
opp_0010,Umbrella Robotics - Expansion,Umbrella Robotics,rep_001,Aisha Okonkwo,Enterprise,112000,Proposal,3,40,Pipeline,2026-06-25,2026-02-09,2026-03-11,,70,False,False
opp_0011,Cyberdyne Robotics - Upsell,Cyberdyne Robotics,rep_001,Aisha Okonkwo,Enterprise,145500,Negotiation,4,65,Commit,2026-07-19,2025-11-10,2026-05-10,Send mutual close plan for sign-off,10,False,False
opp_0012,Wernham Hogg Partners - New Logo,Wernham Hogg Partners,rep_001,Aisha Okonkwo,Enterprise,377000,Discovery,1,10,Pipeline,2026-07-08,2025-09-28,2026-05-13,Send revised SOW reflecting reduced scope,7,False,False
opp_0013,Hooli Dynamics - Renewal,Hooli Dynamics,rep_001,Aisha Okonkwo,Enterprise,444000,Verbal,5,85,Commit,2026-05-27,2026-04-20,2026-05-14,Demo the API integration to their eng team,6,False,False
opp_0014,Mom's Friendly Labs - Upsell,Mom's Friendly Labs,rep_001,Aisha Okonkwo,Enterprise,298500,Discovery,1,10,Pipeline,2026-10-08,2025-11-06,2026-05-18,Schedule security review with their CISO,2,False,False
opp_0015,Wernham Hogg Networks - Upsell,Wernham Hogg Networks,rep_001,Aisha Okonkwo,Enterprise,245500,Proposal,3,40,Pipeline,2026-08-09,2025-10-20,2026-05-17,Confirm budget approval from CFO,3,False,False
opp_0016,Stark Holdings - New Logo,Stark Holdings,rep_001,Aisha Okonkwo,Enterprise,197000,Negotiation,4,65,Commit,2026-05-31,2026-02-12,2026-05-16,,4,False,False
opp_0017,Cyberdyne Solutions - New Logo,Cyberdyne Solutions,rep_001,Aisha Okonkwo,Enterprise,88500,Discovery,1,10,Pipeline,2026-09-17,2025-11-08,2026-05-14,,6,False,False
opp_0018,Vandelay Industries - New Logo,Vandelay Industries,rep_001,Aisha Okonkwo,Enterprise,167000,Negotiation,4,65,BestCase,2026-06-20,2025-11-29,2026-05-10,Send mutual close plan for sign-off,10,False,False
opp_0019,Massive Dynamic Group - Platform,Massive Dynamic Group,rep_001,Aisha Okonkwo,Enterprise,120000,Proposal,3,40,Pipeline,2026-07-30,2025-11-13,2026-05-17,Send mutual close plan for sign-off,3,False,False
opp_0020,Bluth Partners - Renewal,Bluth Partners,rep_001,Aisha Okonkwo,Enterprise,320500,Closed Won,6,100,Closed,2026-05-11,2025-10-24,2026-04-29,Demo the API integration to their eng team,21,True,True
opp_0021,Soylent Partners - Upsell,Soylent Partners,rep_001,Aisha Okonkwo,Enterprise,81500,Closed Lost,7,0,Closed,2026-05-05,2025-10-08,2026-05-14,Send mutual close plan for sign-off,6,True,False
opp_0022,Bluth Logistics - New Logo,Bluth Logistics,rep_001,Aisha Okonkwo,Enterprise,103000,Negotiation,4,65,BestCase,2026-06-22,2025-09-30,2026-04-26,Demo the API integration to their eng team,24,False,False
opp_0023,Dunder Mifflin Partners - New Logo,Dunder Mifflin Partners,rep_001,Aisha Okonkwo,Enterprise,303000,Discovery,1,10,Pipeline,2026-10-12,2026-03-26,2026-05-15,Send mutual close plan for sign-off,5,False,False
opp_0024,LexCorp Logistics - Expansion,LexCorp Logistics,rep_001,Aisha Okonkwo,Enterprise,361500,Discovery,1,10,Pipeline,2026-10-09,2026-03-04,2026-03-26,,55,False,False
opp_0025,Wernham Hogg Holdings - Expansion,Wernham Hogg Holdings,rep_001,Aisha Okonkwo,Enterprise,157500,Discovery,1,10,Pipeline,2026-06-23,2025-11-17,2026-05-14,Send mutual close plan for sign-off,6,False,False
opp_0026,Soylent Corp - Upsell,Soylent Corp,rep_002,Diego Marquez,Enterprise,407500,Proposal,3,40,BestCase,2026-08-09,2025-11-01,2026-05-10,Demo the API integration to their eng team,10,False,False
opp_0027,Stark Bio - Expansion,Stark Bio,rep_002,Diego Marquez,Enterprise,241500,Proposal,3,40,BestCase,2026-06-30,2025-12-21,2026-05-17,Send revised SOW reflecting reduced scope,3,False,False
opp_0028,Oscorp Technologies - New Logo,Oscorp Technologies,rep_002,Diego Marquez,Enterprise,123500,Discovery,1,10,Pipeline,2026-09-29,2026-02-18,2026-05-07,Demo the API integration to their eng team,13,False,False
opp_0029,Wernham Hogg Logistics - Expansion,Wernham Hogg Logistics,rep_002,Diego Marquez,Enterprise,314000,Discovery,1,10,Pipeline,2026-09-07,2025-12-06,2026-02-22,,87,False,False
opp_0030,Buy n Large Dynamics - Expansion,Buy n Large Dynamics,rep_002,Diego Marquez,Enterprise,120500,Discovery,1,10,Pipeline,2026-07-21,2026-01-01,2026-03-19,,62,False,False
opp_0031,Mooby Health - Expansion,Mooby Health,rep_002,Diego Marquez,Enterprise,262000,Negotiation,4,65,Commit,2026-06-06,2026-03-11,2026-05-13,Follow up on pricing after Friday's call,7,False,False
opp_0032,Stark Robotics - Expansion,Stark Robotics,rep_002,Diego Marquez,Enterprise,406500,Qualification,2,20,Pipeline,2026-10-15,2025-11-03,2026-05-08,Confirm budget approval from CFO,12,False,False
opp_0033,Pendant Publishing Technologies - Platform,Pendant Publishing Technologies,rep_002,Diego Marquez,Enterprise,388500,Negotiation,4,65,Commit,2026-07-11,2026-04-05,2026-05-19,Loop in their legal team on MSA redlines,1,False,False
opp_0034,Sterling Cooper Networks - Expansion,Sterling Cooper Networks,rep_002,Diego Marquez,Enterprise,108500,Discovery,1,10,Pipeline,2026-06-28,2025-12-07,2026-05-20,Schedule security review with their CISO,0,False,False
opp_0035,Bluestar Holdings - Renewal,Bluestar Holdings,rep_002,Diego Marquez,Enterprise,192500,Verbal,5,85,Commit,2026-06-09,2025-11-08,2026-05-13,,7,False,False
opp_0036,Bluestar Corp - Upsell,Bluestar Corp,rep_002,Diego Marquez,Enterprise,195500,Discovery,1,10,Pipeline,2026-07-29,2026-04-02,2026-03-13,,68,False,False
opp_0037,Cyberdyne Bio - Renewal,Cyberdyne Bio,rep_002,Diego Marquez,Enterprise,341500,Proposal,3,40,BestCase,2026-07-05,2025-09-23,2026-05-20,Loop in their legal team on MSA redlines,0,False,False
opp_0038,Wonka Holdings - New Logo,Wonka Holdings,rep_002,Diego Marquez,Enterprise,192500,Negotiation,4,65,Commit,2026-07-08,2026-03-06,2026-05-17,Send mutual close plan for sign-off,3,False,False
opp_0039,Vandelay Partners - Platform,Vandelay Partners,rep_002,Diego Marquez,Enterprise,205000,Discovery,1,10,Pipeline,2026-07-13,2026-04-13,2026-05-07,Get verbal commit on close date from buyer,13,False,False
opp_0040,Mooby Technologies - Renewal,Mooby Technologies,rep_002,Diego Marquez,Enterprise,240500,Negotiation,4,65,Commit,2026-06-12,2025-10-28,2026-05-16,Send mutual close plan for sign-off,4,False,False
opp_0041,Soylent Bio - Expansion,Soylent Bio,rep_002,Diego Marquez,Enterprise,341000,Discovery,1,10,Pipeline,2026-07-22,2025-10-11,2026-05-08,Follow up on pricing after Friday's call,12,False,False
opp_0042,Vandelay Solutions - Upsell,Vandelay Solutions,rep_002,Diego Marquez,Enterprise,84500,Discovery,1,10,Pipeline,2026-08-12,2025-09-29,2026-05-20,Loop in their legal team on MSA redlines,0,False,False
opp_0043,Cyberdyne Corp - Renewal,Cyberdyne Corp,rep_002,Diego Marquez,Enterprise,86500,Verbal,5,85,Commit,2026-05-23,2025-10-14,2026-05-13,Schedule security review with their CISO,7,False,False
opp_0044,Dunder Mifflin Partners - Upsell,Dunder Mifflin Partners,rep_002,Diego Marquez,Enterprise,312000,Verbal,5,85,Commit,2026-05-26,2025-10-03,2026-05-11,Confirm budget approval from CFO,9,False,False
opp_0045,Mooby Networks - Upsell,Mooby Networks,rep_002,Diego Marquez,Enterprise,138500,Closed Won,6,100,Closed,2026-04-23,2026-02-09,2026-05-16,Schedule security review with their CISO,4,True,True
opp_0046,Tyrell Solutions - New Logo,Tyrell Solutions,rep_003,Priya Raman,Mid-Market,71500,Proposal,3,40,Pipeline,2026-06-13,2025-11-13,2026-05-14,Send mutual close plan for sign-off,6,False,False
opp_0047,Pied Piper Bio - Expansion,Pied Piper Bio,rep_003,Priya Raman,Mid-Market,34000,Qualification,2,20,Pipeline,2026-07-12,2025-10-29,2026-05-11,Confirm budget approval from CFO,9,False,False
opp_0048,LexCorp Partners - Renewal,LexCorp Partners,rep_003,Priya Raman,Mid-Market,63000,Discovery,1,10,Pipeline,2026-06-20,2025-10-01,2026-05-15,Get verbal commit on close date from buyer,5,False,False
opp_0049,Pendant Publishing Networks - Expansion,Pendant Publishing Networks,rep_003,Priya Raman,Mid-Market,65500,Discovery,1,10,Pipeline,2026-07-23,2026-01-04,2026-02-24,Loop in their legal team on MSA redlines,85,False,False
opp_0050,Initech Dynamics - New Logo,Initech Dynamics,rep_003,Priya Raman,Mid-Market,71500,Discovery,1,10,Pipeline,2026-09-16,2025-11-19,2026-05-15,Get verbal commit on close date from buyer,5,False,False
opp_0051,Stark Partners - New Logo,Stark Partners,rep_003,Priya Raman,Mid-Market,76000,Negotiation,4,65,BestCase,2026-06-11,2025-12-19,2026-05-14,Demo the API integration to their eng team,6,False,False
opp_0052,Bluth Corp - Expansion,Bluth Corp,rep_003,Priya Raman,Mid-Market,26000,Qualification,2,20,Pipeline,2026-07-08,2025-10-07,2026-05-20,Schedule security review with their CISO,0,False,False
opp_0053,Pendant Publishing Group - Renewal,Pendant Publishing Group,rep_003,Priya Raman,Mid-Market,93000,Closed Won,6,100,Closed,2026-04-25,2025-09-27,2026-03-23,,58,True,True
